thread_id,first_message,thread_text,is_hard,is_multi_intent,retrieval_sim,is_fresh,thread_depth,has_branches,case_type,golden_id,primary_intent,secondary_intent,should_escalate,reference_resolution_summary,labeling_notes
2919375,@SpotifyCares spotify isnt working,"@SpotifyCares spotify isnt working @808035 Hey! We were off beat for a second, but we’re back on track now (excuse the puns) /CE",True,False,0.5,True,1,False,hard,G001,other_unclear,,False,Thank the customer for reaching out. Ask them to describe their issue in more detail so the right support team can assist.,Auto-labeled as other_unclear; message lacks sufficient intent signal.
2917877,Spotify is down... I need to download Christmas songs to annoy the Christmas temps at work 😩😩😂😂 @115888 help me!,"Spotify is down... I need to download Christmas songs to annoy the Christmas temps at work 😩😩😂😂 @115888 help me! @807645 Hey, thanks for the report! We had a little hiccup earlier, but everything should be running just fine now /JS",True,False,0.5,True,1,False,hard,G002,download_offline,,False,"Ask for the device and Spotify version. Check: Premium subscription active, device storage, offline device limit (max 5 devices), and whether the toggle is enabled in Settings → Playback → Offline Mode.",
2920712,@115888 why you no work?,"@115888 why you no work? @161431 Hey. We've made a few tweaks backstage, so this should now be fixed up. Let us know if not! /CE",True,False,0.5,True,1,False,hard,G003,other_unclear,,False,Thank the customer for reaching out. Ask them to describe their issue in more detail so the right support team can assist.,Auto-labeled as other_unclear; message lacks sufficient intent signal.
2866636,@115888 where is reputation?,"@115888 where is reputation? @649713 Hey Zach! Taylor Swift's 'Reputation' isn't available to stream just yet! For now, check out the singles: https://t.co/3h0TnPWP0c /KC @SpotifyCares when will it be available ?? @649713 We're afraid we don't have any specific info to share right now. Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa 🙂 /GN",True,False,0.5,True,3,False,hard,G004,playlist_content_missing,,False,"Acknowledge the missing content. Explain that content availability depends on licensing agreements. Link to spotify.com/content-policy for more information. If a playlist has disappeared, ask them to check Settings → Recover playlists.",
2754908,@115888 customer support is terrible,@115888 customer support is terrible @115888 @115888 the amount of time I have spent on this I could have just signed up for tidal or Apple Music @771097 Hey there! We're sorry to hear you feel that way. Can you give us more info on this? We'd love to help /NG,True,False,0.5,True,2,False,hard,G005,other_unclear,,False,Thank the customer for reaching out. Ask them to describe their issue in more detail so the right support team can assist.,Auto-labeled as other_unclear; message lacks sufficient intent signal.
2720083,@SpotifyCares https://t.co/izePTgfwaG,"@SpotifyCares https://t.co/izePTgfwaG @763275 Hi! We’d love to have all of Miley's stuff available, but we have some info about content here: https://t.co/0i8GpimuDa. Hope this clears things up /DR",True,False,0.5,True,1,False,hard,G006,other_unclear,,False,Thank the customer for reaching out. Ask them to describe their issue in more detail so the right support team can assist.,Auto-labeled as other_unclear; message lacks sufficient intent signal.
2915209,@SpotifyCares check dm,@SpotifyCares check dm @806950 Hi Burch! We've just sent you a bit more info over DM. We'll carry on helping out there /GN,True,False,0.5,True,1,False,hard,G007,other_unclear,,False,Thank the customer for reaching out. Ask them to describe their issue in more detail so the right support team can assist.,Auto-labeled as other_unclear; message lacks sufficient intent signal.
566316,@SpotifyCares messaged,@SpotifyCares messaged @246670 Hey! We've just sent a DM your way. Let's carry on chatting there /NQ,True,False,0.5,True,1,False,hard,G008,other_unclear,,False,Thank the customer for reaching out. Ask them to describe their issue in more detail so the right support team can assist.,Auto-labeled as other_unclear; message lacks sufficient intent signal.
463558,I’m so fucking annoyed. Every god damned time I try and listen to @115888 on my computer it fucking freezes. Well fuck you too then 🖕🏻🖕🏻@129941 doesn’t do this shit to me...,I’m so fucking annoyed. Every god damned time I try and listen to @115888 on my computer it fucking freezes. Well fuck you too then 🖕🏻🖕🏻@129941 doesn’t do this shit to me... @225208 Hey Ashley! Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /AR,True,False,0.5,True,1,False,hard,G009,app_crash,,False,"Acknowledge the app issue. Request device model, OS version, and Spotify version. Suggest updating the app and OS, reinstalling Spotify, or checking for known compatibility issues.",
2917963,@115888 fix your shit.,"@115888 fix your shit. @807673 Hey there! We had a little hiccup backstage, but it should be working now. We're here if you need us /FR",True,False,0.5,True,1,False,hard,G010,other_unclear,,False,Thank the customer for reaching out. Ask them to describe their issue in more detail so the right support team can assist.,Auto-labeled as other_unclear; message lacks sufficient intent signal.
